,symbol,name
0,SH600030,中信证券
1,SH600519,贵州茅台
2,SH601318,中国平安
3,SH601990,南京证券
4,SH601788,光大证券
5,SH600584,长电科技
6,SH603986,兆易创新
7,SH600745,闻泰科技
8,SH601878,浙商证券
9,SH600536,中国软件
10,SH600703,三安光电
11,SH600036,招商银行
12,SH600050,中国联通
13,SH600760,中航沈飞
14,SH601888,中国中免
15,SH600918,中泰证券
16,SH601377,兴业证券
17,SH603799,华友钴业
18,SH600196,复星医药
19,SH601108,财通证券
20,SH603019,中科曙光
21,SH600418,江淮汽车
22,SH601696,中银证券
23,SH600109,国金证券
24,SH601688,华泰证券
25,SH600276,恒瑞医药
26,SH600585,海螺水泥
27,SH600127,金健米业
28,SH600859,王府井
29,SH601166,兴业银行
30,SH600827,百联股份
31,SH603005,晶方科技
32,SH600380,健康元
33,SH601162,天风证券
34,SH601066,中信建投
35,SH600415,小商品城
36,SH603993,洛阳钼业
37,SH601012,隆基股份
38,SH600598,北大荒
39,SH601236,红塔证券
40,SH600570,恒生电子
41,SH600143,金发科技
42,SH603160,汇顶科技
43,SH600621,华鑫股份
44,SH601899,紫金矿业
45,SH600887,伊利股份
46,SH600739,辽宁成大
47,SH601398,工商银行
48,SH600031,三一重工
49,SH600048,保利地产
50,SH600837,海通证券
51,SH600111,北方稀土
52,SH601099,太平洋
53,SH600588,用友网络
54,SH600410,华胜天成
55,SH603501,韦尔股份
56,SH600104,上汽集团
57,SH600909,华安证券
58,SH600438,通威股份
59,SH600547,山东黄金
60,SH601519,大智慧
61,SH600183,生益科技
62,SH600606,绿地控股
63,SH600529,山东药玻
64,SH600511,国药股份
65,SH601698,中国卫通
66,SH600515,海航基础
67,SH603259,药明康德
68,SH600641,万业企业
69,SH600893,航发动力
70,SH600118,中国卫星
71,SH600095,哈高科
72,SH600667,太极实业
73,SH601360,三六零
74,SH601668,中国建筑
75,SH601211,国泰君安
76,SH600498,烽火通信
77,SH600185,格力地产
78,SH600522,中天科技
79,SH601601,中国太保
80,SH601628,中国人寿
81,SH600895,张江高科
82,SH600352,浙江龙盛
83,SH601989,中国重工
84,SH603392,万泰生物
85,SH600009,上海机场
86,SH601336,新华保险
87,SH601881,中国银河
88,SH601288,农业银行
89,SH600660,福耀玻璃
0,SH600436,片仔癀
1,SH600685,中船防务
2,SH600061,国投资本
3,SH601933,永辉超市
4,SH600699,均胜电子
5,SH600298,安琪酵母
6,SH601138,工业富联
7,SH601328,XD交通银
8,SH601816,京沪高铁
9,SH600459,贵研铂业
10,SH600038,中直股份
11,SH603301,振德医疗
12,SH600975,新五丰
13,SH600016,民生银行
14,SH603128,华贸物流
15,SH600801,华新水泥
16,SH600316,洪都航空
17,SH600516,方大炭素
18,SH600206,有研新材
19,SH600068,葛洲坝
20,SH600487,亨通光电
21,SH600884,杉杉股份
22,SH603690,至纯科技
23,SH600208,新湖中宝
24,SH600360,华微电子
25,SH601555,东吴证券
26,SH601669,中国电建
27,SH600211,西藏药业
28,SH600425,青松建化
29,SH601818,光大银行
30,SH600834,申通地铁
31,SH600309,万华化学
32,SH600028,中国石化
33,SH600383,金地集团
34,SH600559,老白干酒
35,SH603290,斯达半导
36,SH601939,建设银行
37,SH600682,南京新百
38,SH600198,大唐电信
39,SH600779,水井坊
40,SH600988,赤峰黄金
41,SH601872,招商轮船
42,SH603650,彤程新材
43,SH601952,苏垦农发
44,SH601319,中国人保
45,SH600072,中船科技
46,SH600789,鲁抗医药
47,SH600711,XD盛屯矿
48,SH600967,内蒙一机
49,SH601186,中国铁建
50,SH603000,人民网
51,SH601179,中国西电
52,SH601231,环旭电子
53,SH600741,华域汽车
54,SH600446,金证股份
55,SH600330,天通股份
56,SH600958,东方证券
57,SH601901,方正证券
58,SH600867,通化东宝
59,SH600171,上海贝岭
60,SH603718,海利生物
61,SH600900,长江电力
62,SH603609,禾丰牧业
63,SH601609,金田铜业
64,SH600804,鹏博士
65,SH600489,中金黄金
66,SH600362,江西铜业
67,SH600809,山西汾酒
68,SH603589,口子窖
69,SH600037,歌华有线
70,SH600406,国电南瑞
71,SH601088,中国神华
72,SH600546,山煤国际
73,SH600986,科达股份
74,SH600000,浦发银行
75,SH600150,中国船舶
76,SH600586,金晶科技
77,SH603444,吉比特
78,SH600359,新农开发
79,SH600107,美尔雅
80,SH603858,步长制药
81,SH603429,集友股份
82,SH601916,浙商银行
83,SH600340,华夏幸福
84,SH600702,舍得酒业
85,SH600176,中国巨石
86,SH600318,新力金融
87,SH600812,华北制药
88,SH600089,特变电工
89,SH600879,航天电子
0,SH601778,晶科科技
1,SH600260,凯乐科技
2,SH601857,中国石油
3,SH600371,万向德农
4,SH600604,市北高新
5,SH600126,杭钢股份
6,SH601198,东兴证券
7,SH600026,中远海能
8,SH600690,海尔智家
9,SH600326,西藏天路
10,SH603883,老百姓
11,SH600527,江南高纤
12,SH601636,旗滨集团
13,SH600010,包钢股份
14,SH600581,八一钢铁
15,SH600216,浙江医药
16,SH601800,中国交建
17,SH600720,祁连山
18,SH603606,东方电缆
19,SH600486,扬农化工
20,SH600673,东阳光
21,SH601607,上海医药
22,SH601988,中国银行
23,SH603866,桃李面包
24,SH603538,美诺华
25,SH600332,白云山
26,SH600600,青岛啤酒
27,SH601169,北京银行
28,SH601766,中国中车
29,SH600369,西南证券
30,SH603093,南华期货
31,SH603069,海汽集团
32,SH601111,中国国航
33,SH600535,天士力
34,SH600291,西水股份
35,SH605168,三人行
36,SH600392,盛和资源
37,SH600116,三峡水利
38,SH600131,国网信通
39,SH600718,东软集团
40,SH603882,金域医学
41,SH603881,数据港
42,SH601890,亚星锚链
43,SH600391,航发科技
44,SH603976,正川股份
45,SH600305,恒顺醋业
46,SH603893,瑞芯微
47,SH603288,海天味业
48,SH600338,西藏珠峰
49,SH603078,江化微
50,SH600223,鲁商发展
51,SH603678,火炬电子
52,SH600845,宝信软件
53,SH600521,华海药业
54,SH600268,国电南自
55,SH600864,哈投股份
56,SH600283,钱江水利
57,SH603363,傲农生物
58,SH600728,佳都科技
59,SH601689,拓普集团
60,SH600502,安徽建工
61,SH600993,马应龙
62,SH601375,中原证券
63,SH600075,新疆天业
64,SH600346,恒力石化
65,SH600161,天坛生物
66,SH600073,上海梅林
67,SH603601,再升科技
68,SH600862,中航高科
69,SH601606,长城军工
70,SH603605,珀莱雅
71,SH601155,新城控股
72,SH601168,西部矿业
73,SH601390,中国中铁
74,SH600640,号百控股
75,SH600645,中源协和
76,SH600019,宝钢股份
77,SH600848,上海临港
78,SH603707,健友股份
79,SH600705,中航资本
80,SH603127,昭衍新药
81,SH600549,厦门钨业
82,SH600873,梅花生物
83,SH600552,凯盛科技
84,SH600655,豫园股份
85,SH600197,伊力特
86,SH601658,邮储银行
87,SH603228,景旺电子
88,SH600855,航天长峰
89,SH600597,光明乳业
0,SH601118,海南橡胶
1,SH600055,万东医疗
2,SH603195,公牛集团
3,SH600977,中国电影
4,SH603658,安图生物
5,SH600155,华创阳安
6,SH600580,卧龙电驱
7,SH603012,创力集团
8,SH600273,嘉化能源
9,SH603659,璞泰来
10,SH600572,康恩贝
11,SH603026,石大胜华
12,SH601238,广汽集团
13,SH600643,爱建集团
14,SH600201,生物股份
15,SH600195,中牧股份
16,SH601600,中国铝业
17,SH600239,云南城投
18,SH603138,海量数据
19,SH600271,航天信息
20,SH601020,华钰矿业
21,SH603598,引力传媒
22,SH603369,今世缘
23,SH601128,XD常熟银
24,SH600094,大名城
25,SH600723,首商股份
26,SH603686,龙马环卫
